spec,museum,applique,burnish
1894,amnh,not,not
2502,amnh,appliqued,not
2503,amnh,appliqued,not
2504,amnh,not,not
3019,amnh,appliqued,not
3020,amnh,appliqued,not
3310,amnh,appliqued,burnished
4081,amnh,not,not
4938,amnh,appliqued,not
5091,amnh,not,not
5092,amnh,not,not
5099,amnh,not,not
5118,amnh,not,not
5135,amnh,not,not
5136,amnh,not,burnished
7072,amnh,not,burnished
1608-119,aahc,not,burnished
1654-9,aahc,not,burnished
1608-96,aahc,not,burnished
X-49,aahc,not,burnished
1608-71,aahc,not,burnished
